ID,Price,Street Address,Bed,Bath,Listing Area,Certificate,Jakarta Division,Property Link
rmh.com21292945,7900000000.0,Panglima Polim,4,4,200 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-panglima-polim-jakarta-selatan-oleh-wilis-w-21292945
rmh.com19988731,8250000000.0,Pondok Indah,4,3,200 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-pondok-indah-jakarta-selatan-oleh-putu-dewi-19988731
rmh.com21203255,9700000000.0,Pancoran,4,3,176 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-pancoran-barat-jakarta-selatan-oleh-meti-lim-21203255
rmh.com20633188,40000000000.0,Pejaten,4,4,938 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-pejaten-barat-jakarta-selatan-oleh-fahmi-lutfi-ganis-20633188
rmh.com20741281,1950000000.0,Ciganjur,3,4,140 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-ciganjur-jagakarsa-jakarta-selatan-oleh-fahad-20741281
rmh.com20875629,6400000000.0,Pondok Indah,5,4,250 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-pondok-indah-jakarta-selatan-oleh-zuliwardhy-20875629
rmh.com20618901,10000000000.0,Kebagusan,4,4,380 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-kebagusan-ragunan-jakarta-selatan-oleh-erik-ocasa-20618901
rmh.com20657981,27000000000.0,Mega Kuningan,6,6,500 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-mega-kuningan-jakarta-selatan-oleh-erik-ocasa-20657981
rmh.com20658133,38000000000.0,Pondok Indah,7,6,1400 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-pondok-indah-jakarta-selatan-oleh-erik-ocasa-20658133
rmh.com20735956,35000000000.0,Kebayoran Baru,10,10,1500 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-kebayoran-baru-jakarta-selatan-oleh-erik-ocasa-20735956
rmh.com20568308,190000000000.0,Pondok Indah,6,7,1400 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-pondok-indah-jakarta-selatan-oleh-erik-ocasa-20568308
rmh.com20652306,12500000000.0,Ampera,4,4,350 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-ampera-kemang-jakarta-selatan-oleh-erik-ocasa-20652306
rmh.com20678826,10000000000.0,Kebayoran Baru,6,6,400 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-kebayoran-baru-jakarta-selatan-oleh-erik-ocasa-20678826
rmh.com20687732,60000000000.0,Kebayoran Baru,4,4,550 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-kebayoran-baru-jakarta-selatan-oleh-erik-ocasa-20687732
rmh.com20708747,32000000000.0,Kebayoran Baru,5,5,900 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-kebayoran-baru-jakarta-selatan-oleh-erik-ocasa-20708747
rmh.com20753035,14000000000.0,Lebak Bulus,4,6,500 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-lebak-bulus-jakarta-selatan-oleh-erik-ocasa-20753035
rmh.com20755777,4000000000.0,Tebet Barat,1,1,180 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-tebet-barat-jakarta-selatan-oleh-erik-ocasa-20755777
rmh.com20757883,25000000000.0,Pondok Indah,4,5,400 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-pondok-indah-jakarta-selatan-oleh-erik-ocasa-20757883
rmh.com20757991,17000000000.0,Kebayoran Baru,6,3,350 m²,SHM - Sertifikat Hak Milik,SOUTH,https://www.rumah.com/listing-properti/dijual-kebayoran-baru-jakarta-selatan-oleh-erik-ocasa-20757991
